bucket,time_end,files_combined,bytes_combined
738,7390.0,325.000000,16358379914.0
739,7400.0,324.000000,781401788.0
740,7410.0,278.000000,1599452.0
741,7420.0,278.000000,779512.0
742,7430.0,355.000000,1385350244.0
743,7440.0,433.000000,27478753.0
744,7450.0,275.000000,19990615.0
745,7460.0,324.000000,315075.0
746,7470.0,363.000000,57569776.0
747,7480.0,268.000000,27095494.0
748,7490.0,387.000000,44699175.0
749,7500.0,323.000000,219556861.0
750,7510.0,231.000000,25399993.0
751,7520.0,365.000000,53369955.0
752,7530.0,339.000000,47911840.0
753,7540.0,337.000000,224991174.0
754,7550.0,335.000000,4317535518.0
755,7560.0,339.000000,32487119.0
756,7570.0,345.000000,24192362.0
757,7580.0,313.000000,20416426.0
758,7590.0,237.000000,233872617.0
759,7600.0,276.000000,3175987983.0
760,7610.0,355.000000,10423989.0
761,7620.0,350.000000,29086620.0
762,7630.0,390.000000,179740637.0
763,7640.0,415.000000,9358596243.0
764,7650.0,418.000000,21516977.0
765,7660.0,346.000000,28787815.0
766,7670.0,241.000000,39654192.0
